name,block,x,y
s_19_27,C_r,-13021.542667778998,-35603.3457484521
s_19_28,C_r,-13020.666602958101,-35603.2089123308
s_19_29,C_r,-13019.8613479581,-35603.104229180804
s_19_30,C_r,-13019.104408258101,-35602.9834409308
s_19_22,C_r,-13024.685387979,-35603.3737189842
s_19_23,C_r,-13024.0647790581,-35603.3860684308
s_20_13,C_l,-13030.804763408101,-35603.7613389308
s_20_14,C_l,-13030.023666058101,-35603.9223899308
s_20_15,C_l,-13029.250621258101,-35604.0834409308
s_20_16,C_l,-13028.432049428999,-35604.2539094102
s_20_17,C_l,-13027.634846979,-35604.3908027602
s_20_18,C_l,-13026.9475919581,-35604.429700580804
s_20_19,C_l,-13026.311440508101,-35604.4377531308
s_20_20,C_l,-13025.7638671081,-35604.4377531308
s_20_21,C_l,-13025.265171579,-35604.4495613342
s_20_24,C_r,-13023.4447327081,-35604.502173530804
s_20_25,C_r,-13022.864949108101,-35604.502173530804
s_20_26,C_r,-13022.299607478999,-35604.5101688521
s_20_27,C_r,-13021.542667778998,-35604.4457484521
