,0,1,2,3,4,5,6,7
354876,50,85,82,78,45,22,0,0
355388,45,82,78,75,41,24,0,0
355900,51,80,77,75,42,20,0,0
356412,45,81,77,77,48,17,0,0
356924,48,83,77,77,43,14,0,0
357436,51,80,73,76,45,19,0,0
357948,53,87,80,70,41,18,0,0
358460,50,93,99,71,55,42,0,0
358972,50,87,98,73,59,45,0,0
359484,53,90,100,69,53,45,0,0
359996,52,87,101,80,58,42,0,0
360508,47,84,97,77,53,56,0,0
361020,54,82,98,78,54,47,0,0
361532,47,83,92,78,58,51,0,0
362044,52,86,100,82,54,38,0,0
362556,53,85,91,79,59,42,0,0
363068,54,88,99,74,52,47,0,0
363580,54,94,116,74,65,72,0,0
364092,52,91,120,76,70,71,0,0
364604,55,93,115,74,67,67,0,0
365116,54,90,121,84,68,71,0,0
365628,50,89,116,80,62,77,0,0
366140,57,85,116,81,65,73,0,0
366652,49,87,117,81,69,73,0,0
367164,53,88,117,83,64,65,0,0
367676,54,85,115,81,67,76,0,0
368188,58,91,120,76,62,71,0,0
368700,89,59,22,69,15,27,0,0
369212,84,56,25,73,19,28,0,0
369724,87,59,23,66,17,26,0,0
370236,88,59,22,73,20,27,0,0
370748,88,60,22,65,14,30,0,0
371260,90,57,24,71,17,26,0,0
371772,88,63,25,66,20,26,0,0
372284,87,59,23,69,16,26,0,0
372796,90,57,24,68,19,27,0,0
373308,88,58,25,69,15,28,0,0
373820,90,61,38,72,28,58,0,0
374332,87,58,47,74,32,52,0,0
374844,91,64,44,68,26,48,0,0
375356,89,62,43,76,30,51,0,0
375868,92,62,42,67,26,56,0,0
376380,92,59,40,75,32,51,0,0
376892,92,66,43,69,32,50,0,0
377404,89,61,43,73,34,54,0,0
377916,91,61,42,68,31,53,0,0
378428,92,59,43,74,30,55,0,0
378940,93,65,63,75,39,80,0,0
379452,89,63,65,77,40,79,0,0
379964,92,67,64,70,37,78,0,0
380476,91,65,63,78,40,80,0,0
380988,94,66,62,70,38,79,0,0
381500,94,62,63,78,40,79,0,0
